Trip ID,Pickup Date,Pickup Hours,Vehicle,Payment_type,No. of Passengers,Trip Distance,Booking Value,Location,Total Bookings
103565,2024-06-28 00:00:00,1899-12-30 10:50:50,UberX,Uber Pay,1,144.1,$563.79,Lower East Side,1.00
14781,2024-06-05 00:00:00,1899-12-30 17:04:56,UberX,Uber Pay,1,125.5,$403.01,Penn Station/Madison Sq West,1.00
32353,2024-06-11 00:00:00,1899-12-30 10:17:39,Uber Black,Uber Pay,1,62.4,$245.9,Midtown East,1.00
88894,2024-06-25 00:00:00,1899-12-30 10:11:52,Uber Green,Uber Pay,1,61.37,$258.11,Midtown East,1.00
43342,2024-06-14 00:00:00,1899-12-30 14:07:19,UberX,Uber Pay,1,51.2,$231,JFK Airport,1.00
111181,2024-06-29 00:00:00,1899-12-30 21:46:38,Uber Green,Uber Pay,1,47.09,$124.25,Charleston/Tottenville,1.00
58035,2024-06-18 00:00:00,1899-12-30 10:03:08,UberXL,Uber Pay,1,46.32,$189.06,Midtown East,1.00
93151,2024-06-25 00:00:00,1899-12-30 22:24:55,UberX,Uber Pay,1,45.91,$126.75,Charleston/Tottenville,1.00
78275,2024-06-23 00:00:00,1899-12-30 09:59:37,UberX,Uber Pay,1,45.47,$239.46,Midtown East,1.00
80339,2024-06-23 00:00:00,1899-12-30 15:55:35,UberX,Uber Pay,1,44.61,$120.25,Rossville/Woodrow,1.00
48182,2024-06-15 00:00:00,1899-12-30 19:09:06,Uber Comfort,Uber Pay,1,42.91,$76.25,Jamaica Bay,1.00
93431,2024-06-26 00:00:00,1899-12-30 01:34:22,Uber Green,Uber Pay,1,42,$112.75,Charleston/Tottenville,1.00
84095,2024-06-24 00:00:00,1899-12-30 11:13:24,UberXL,Uber Pay,1,41.67,$112.75,Cambria Heights,1.00
112591,2024-06-30 00:00:00,1899-12-30 09:59:42,UberXL,Uber Pay,1,39.98,$182.98,Midtown East,1.00
38935,2024-06-12 00:00:00,1899-12-30 20:31:36,UberX,Uber Pay,1,39.34,$107.75,Charleston/Tottenville,1.00
87655,2024-06-24 00:00:00,1899-12-30 22:44:23,UberX,Uber Pay,1,39.09,$104.75,Cambria Heights,1.00
86409,2024-06-24 00:00:00,1899-12-30 17:00:06,UberX,Uber Pay,1,38.47,$108.25,Far Rockaway,1.00
47177,2024-06-15 00:00:00,1899-12-30 15:19:02,Uber Green,Uber Pay,2,38.11,$82.14,LaGuardia Airport,1.00
